"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","C/EO (National)","24476","26061","Business Support Manager","23.38","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","C/EO (National)","24476","26061","Team Member","26.43","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","C/EO (Spec Loc Pay Zone)","24476","28185","Business Support Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","C/EO Legacy (National)","22312","25358","Team Member","0.99","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (London Inner)","32430","36478","Business Support Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (London Inner)","32430","36478","Finance Officer","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (London Inner)","32430","36478","Team Member","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (London Other)","31079","35865","Business Support Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (London Other)","31079","35865","Finance Officer","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (National)","28307","32239","Business Support Manager","12.05","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (National)","28307","32239","Finance Officer","31.29","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (National)","28307","32239","Team Member","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO (Spec Loc Pay Zone)","28307","33914","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO Accountant (Qualified) (London Other)","31080","35865","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO Accountant (Qualified) (National)","28307","32239","Finance Officer","2.65","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","D/HEO Legacy (National)","25805","31186","Finance Officer","0.81","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO (London Inner)","36852","42841","Business Manager","4.50","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO (London Inner)","36852","42841","Finance Officer","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO (London Other)","35952","41594","Finance Officer","4.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO (National)","32566","38700","Business Manager","9.87","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO (National)","32566","38700","Finance Officer","57.46","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO (Spec Loc Pay Zone)","34668","41104","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO Accountant (Qualified) (London Inner)","44770","50229","Business Manager","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO Accountant (Qualified) (London Inner)","44770","50229","Finance Officer","6.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO Accountant (Qualified) (National)","39159","45537","Business Manager","8.89","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO Accountant (Qualified) (National)","39159","45537","Finance Officer","27.98","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","E/SEO Accountant (Qualified) (Spec Loc Pay Zone)","42926","48497","Finance Officer","0.76","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 (London Inner)","50476","61530","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 (National)","45905","56707","Business Manager","5.86","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 (National)","45905","56707","Senior Finance  Manager","7.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 Accountant (Qualified) (London Inner)","54449","65408","Business Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 Accountant (Qualified) (London Inner)","54449","65408","Senior Finance  Manager","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 Accountant (Qualified) (National)","49248","60257","Business Manager","9.30","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","F/G7 Accountant (Qualified) (National)","49248","60257","Senior Finance  Manager","45.95","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","G/G6 (National)","56706","69407","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","G/G6 Accountant (Qualified) (London Inner)","68144","78334","Business Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","G/G6 Accountant (Qualified) (London Inner)","68144","78334","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","G/G6 Accountant (Qualified) (National)","62634","72588","Business Manager","7.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","G/G6 Accountant (Qualified) (National)","62634","72588","Senior Finance  Manager","22.46","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","G/G6 Accountant (Qualified) (Spec Loc Pay Zone)","66225","76764","Senior Finance  Manager","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","B/AO (National)","18478","19983","Diary Manager","0.76","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","C/EO (National)","24476","26061","Private Secretary","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","D/HEO (London Inner)","32430","36478","Programme Support Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","D/HEO (National)","28307","32239","Programme Support Officer","1.77","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","E/SEO (National)","32566","38700","Programme Support Officer","4.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","G/G6 (London Inner)","61852","74957","Programme Manager","0.60","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","G/G6 Accountant (Qualified) (London Inner)","68144","78334","Programme Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP325","G/G6 Accountant (Qualified) (National)","62634","72588","Programme Manager","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP99","B/AO (London Inner)","22649","23457","Delivery Management Team","1.78","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP99","D/HEO (London Inner)","32430","36478","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP99","F/G7 (London Inner)","50476","61530","Delivery Management Team","1.00","Finance"
