Member_of_the_58th_Parliament_of_the_United_Kingdom,Member_of_the_58th_Parliament_of_the_United_KingdomLabel,date_of_birth
http://www.wikidata.org/entity/Q688913,Margaret Hodge,1944-09-08T00:00:00Z
http://www.wikidata.org/entity/Q689041,Sharon Hodgson,1966-04-01T00:00:00Z
http://www.wikidata.org/entity/Q689287,Philip Hollobone,1964-11-07T00:00:00Z
http://www.wikidata.org/entity/Q689348,Adam Holloway,1965-07-29T00:00:00Z
http://www.wikidata.org/entity/Q689514,Stewart Hosie,1963-01-03T00:00:00Z
http://www.wikidata.org/entity/Q689546,George Howarth,1949-06-29T00:00:00Z
http://www.wikidata.org/entity/Q689627,John Howell,1955-07-27T00:00:00Z
http://www.wikidata.org/entity/Q689660,Lindsay Hoyle,1957-06-10T00:00:00Z
http://www.wikidata.org/entity/Q692315,Daniel Kawczynski,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q694639,Alison McGovern,1980-12-30T00:00:00Z
http://www.wikidata.org/entity/Q694676,Pat McFadden,1965-03-26T00:00:00Z
http://www.wikidata.org/entity/Q694695,John McDonnell,1951-09-08T00:00:00Z
http://www.wikidata.org/entity/Q694759,Siobhain McDonagh,1960-02-20T00:00:00Z
http://www.wikidata.org/entity/Q694811,Karl McCartney,1968-10-25T00:00:00Z
http://www.wikidata.org/entity/Q694825,Jason McCartney,1968-01-29T00:00:00Z
http://www.wikidata.org/entity/Q694869,Steve McCabe,1955-08-04T00:00:00Z
http://www.wikidata.org/entity/Q694881,Paul Maynard,1975-12-16T00:00:00Z
http://www.wikidata.org/entity/Q694929,Paul Maskey,1967-06-10T00:00:00Z
http://www.wikidata.org/entity/Q694984,Seema Malhotra,1972-08-07T00:00:00Z
http://www.wikidata.org/entity/Q695007,Shabana Mahmood,1980-09-17T00:00:00Z
http://www.wikidata.org/entity/Q695028,Khalid Mahmood,1961-07-13T00:00:00Z
http://www.wikidata.org/entity/Q695092,Angus MacNeil,1970-07-21T00:00:00Z
http://www.wikidata.org/entity/Q695228,Tim Loughton,1962-05-30T00:00:00Z
http://www.wikidata.org/entity/Q695241,Jonathan Lord,1962-09-17T00:00:00Z
http://www.wikidata.org/entity/Q695257,Jack Lopresti,1969-08-23T00:00:00Z
http://www.wikidata.org/entity/Q695295,Tony Lloyd,1950-02-25T00:00:00Z
http://www.wikidata.org/entity/Q727587,Dan Jarvis,1972-11-30T00:00:00Z
http://www.wikidata.org/entity/Q727798,Sajid Javid,1969-12-05T00:00:00Z
http://www.wikidata.org/entity/Q727852,Bernard Jenkin,1959-04-09T00:00:00Z
http://www.wikidata.org/entity/Q727933,Diana Johnson,1966-07-25T00:00:00Z
http://www.wikidata.org/entity/Q727981,Gareth Johnson,1969-10-12T00:00:00Z
http://www.wikidata.org/entity/Q728119,Andrew Jones,1963-11-28T00:00:00Z
http://www.wikidata.org/entity/Q728167,David Jones,1952-03-22T00:00:00Z
http://www.wikidata.org/entity/Q748955,Ian Liddell-Grainger,1959-02-23T00:00:00Z
http://www.wikidata.org/entity/Q749612,Julian Lewis,1951-09-26T00:00:00Z
http://www.wikidata.org/entity/Q749687,Brandon Lewis,1971-06-20T00:00:00Z
http://www.wikidata.org/entity/Q749980,Edward Leigh,1950-07-20T00:00:00Z
http://www.wikidata.org/entity/Q750091,Andrea Leadsom,1963-05-13T00:00:00Z
